Domain,Entity,Flow Name,Archetype,tRPC,Type,Procedure Wrapper,Permissions,Permission Mode,Roles,UI Entry Paths,Business Purpose (from code docs),Client References,Related Entities,Implementation Status,Documentation Status,QA Status (Code-Level),Known Issues / Uncertainties,Router File,File Tag
Accounting,accounting,Get Balance,View/Search/Report,accounting.getBalance,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Chart Of Accounts,View/Search/Report,accounting.getChartOfAccounts,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Post Journal Entry,State Transition/Action,accounting.postJournalEntry,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Trial Balance,View/Search/Report,accounting.getTrialBalance,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Current,View/Search/Report,accounting.getCurrent,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Close,State Transition/Action,accounting.close,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Lock,Action/Operation,accounting.lock,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Reopen,Action/Operation,accounting.reopen,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update,Update,accounting.update,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update Status,Update,accounting.updateStatus,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Record Payment,Action/Operation,accounting.recordPayment,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Outstanding Receivables,View/Search/Report,accounting.getOutstandingReceivables,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get ARAging,View/Search/Report,accounting.getARAging,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Generate Number,View/Search,accounting.generateNumber,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update,Update,accounting.update,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update Status,Update,accounting.updateStatus,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Record Payment,Action/Operation,accounting.recordPayment,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Outstanding Payables,View/Search/Report,accounting.getOutstandingPayables,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get APAging,View/Search/Report,accounting.getAPAging,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Generate Number,View/Search,accounting.generateNumber,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Generate Number,View/Search,accounting.generateNumber,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get For Invoice,View/Search/Report,accounting.getForInvoice,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get For Bill,View/Search/Report,accounting.getForBill,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update,Update,accounting.update,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update Balance,Update,accounting.updateBalance,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Total Cash Balance,View/Search/Report,accounting.getTotalCashBalance,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
