Domain,Entity,Flow Name,Archetype,tRPC Procedure,Type,Procedure Wrapper,Permissions,Permission Mode,Roles,UI Entry Paths,Business Purpose,Implementation Status,Known Issues,Router File
Accounting,Payments,Pay Vendor,Action,accounting.payVendor,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/payments,WS-002: Pay vendor (cash out),API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Payments,Record Payment,Action,accounting.recordPayment,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/payments,Record payment against invoice or bill,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AR Summary,Get AR Summary,Report,accounting.getARSummary,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get comprehensive AR summary with aging and top debtors,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AR Summary,Get AR Aging,Report,accounting.getARAging,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get AR aging buckets (0-30, 31-60, 61-90, 90+),API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AR Summary,Get Outstanding Receivables,Report,accounting.getOutstandingReceivables,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get list of outstanding receivables,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AR Summary,Get Overdue Invoices,Report,accounting.getOverdueInvoices,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get list of overdue invoices,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AR Summary,Get Client Statement,Report,accounting.getClientStatement,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/clients/:id,Get client statement with invoices and payments,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AP Summary,Get AP Summary,Report,accounting.getAPSummary,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get comprehensive AP summary by vendor,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AP Summary,Get AP Aging,Report,accounting.getAPAging,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get AP aging buckets,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AP Summary,Get Outstanding Payables,Report,accounting.getOutstandingPayables,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get list of outstanding payables,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,AP Summary,Get Overdue Bills,Report,accounting.getOverdueBills,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get list of overdue bills,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Accounts,List Bank Accounts,View/Search,accounting.list,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/bank-accounts,List all bank accounts,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Accounts,Get Bank Account,View/Search,accounting.getById,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/bank-accounts/:id,Get bank account by ID,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Accounts,Create Bank Account,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/bank-accounts/new,Create new bank account,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Accounts,Update Balance,Update,accounting.updateBalance,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/bank-accounts/:id,Update bank account balance,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Accounts,Get Total Cash Balance,Report,accounting.getTotalCashBalance,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get total cash balance across all accounts,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Transactions,List Transactions,View/Search,accounting.list,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/bank-transactions,List bank transactions,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Transactions,Create Transaction,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/bank-transactions/new,Create bank transaction,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Transactions,Reconcile,Action,accounting.reconcile,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/bank-transactions,Reconcile bank transaction,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Transactions,Get Unreconciled,Report,accounting.getUnreconciled,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/bank-transactions,Get unreconciled transactions,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bank Transactions,Get Balance At Date,Report,accounting.getBalanceAtDate,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/bank-transactions,Get balance at specific date,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Fiscal Periods,List Periods,View/Search,accounting.list,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/fiscal-periods,List fiscal periods,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Fiscal Periods,Get Current Period,View/Search,accounting.getCurrent,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/fiscal-periods,Get current fiscal period,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Fiscal Periods,Create Period,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/fiscal-periods/new,Create fiscal period,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Fiscal Periods,Close Period,State Transition,accounting.close,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/fiscal-periods/:id,Close fiscal period (OPEN→CLOSED),API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Fiscal Periods,Lock Period,State Transition,accounting.lock,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/fiscal-periods/:id,Lock fiscal period (CLOSED→LOCKED),API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Fiscal Periods,Reopen Period,State Transition,accounting.reopen,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/fiscal-periods/:id,Reopen fiscal period,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,General Ledger,Get Chart of Accounts,View/Search,accounting.getChartOfAccounts,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/chart-of-accounts,Get chart of accounts,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,General Ledger,Post Journal Entry,Create,accounting.postJournalEntry,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/general-ledger,Post journal entry,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,General Ledger,Get Trial Balance,Report,accounting.getTrialBalance,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/general-ledger,Get trial balance report,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,General Ledger,Get Balance,Report,accounting.getBalance,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/chart-of-accounts/:id,Get account balance,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,List Expenses,View/Search,accounting.list,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/expenses,List expenses,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,Create Expense,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/expenses/new,Create expense record,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,Update Expense,Update,accounting.update,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/expenses/:id,Update expense,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,Mark Reimbursed,State Transition,accounting.markReimbursed,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/expenses/:id,Mark expense as reimbursed,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,Get Pending Reimbursements,Report,accounting.getPendingReimbursements,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/expenses,Get pending reimbursements,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,Get Breakdown By Category,Report,accounting.getBreakdownByCategory,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/expenses,Get expense breakdown by category,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Expenses,Get Total Expenses,Report,accounting.getTotalExpenses,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get total expenses for period,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Bad Debt,Write Off,Action,badDebt.writeOff,mutation,protectedProcedure,accounting:manage,all,"Super Admin, Accounting Manager",,Write off bad debt,API-only,Permission string not in RBAC seed,server/routers/badDebt.ts
Accounting,Bad Debt,Reverse Write-Off,Action,badDebt.reverse,mutation,protectedProcedure,accounting:manage,all,"Super Admin, Accounting Manager",,Reverse bad debt write-off,API-only,Permission string not in RBAC seed,server/routers/badDebt.ts
Accounting,Bad Debt,Get By Client,View/Search,badDebt.getByClient,query,protectedProcedure,accounting:manage,all,"Super Admin, Accounting Manager",,Get bad debt by client,API-only,Permission string not in RBAC seed,server/routers/badDebt.ts
Accounting,Bad Debt,Get Aging Report,Report,badDebt.getAgingReport,query,protectedProcedure,accounting:manage,all,"Super Admin, Accounting Manager",,Get bad debt aging report,API-only,Permission string not in RBAC seed,server/routers/badDebt.ts
CRM,Clients,List Clients,View/Search,clients.list,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients,List clients with pagination and filters,Client-wired,,server/routers/clients.ts
CRM,Clients,Get Client Count,View/Search,clients.count,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients,Get total count of clients matching filters,Client-wired,,server/routers/clients.ts
CRM,Clients,Get Client By ID,View/Search,clients.getById,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id,Get single client by ID with all details,Client-wired,,server/routers/clients.ts
CRM,Clients,Get By TERI Code,View/Search,clients.getByTeriCode,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients,Get client by TERI code,Client-wired,,server/routers/clients.ts
CRM,Clients,Check TERI Code Available,Validation,clients.checkTeriCodeAvailable,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/new,Check if TERI code is available,Client-wired,,server/routers/clients.ts
CRM,Clients,Create Client,Create,clients.create,mutation,protectedProcedure,clients:create,all,"Super Admin, Sales Manager",/clients/new,Create new client,Client-wired,,server/routers/clients.ts
CRM,Clients,Update Client,Update,clients.update,mutation,protectedProcedure,clients:update,all,"Super Admin, Sales Manager",/clients/:id,Update client with optimistic locking,Client-wired,,server/routers/clients.ts
CRM,Clients,Delete Client,Delete,clients.delete,mutation,protectedProcedure,clients:delete,all,"Super Admin",/clients/:id,Hard delete client,Client-wired,,server/routers/clients.ts
CRM,Clients,Archive Client,Delete/Archive,clients.archive,mutation,protectedProcedure,clients:delete,all,"Super Admin, Sales Manager",/clients/:id,Soft delete/archive client,Client-wired,,server/routers/clients.ts
CRM,Supplier Profiles,Get Supplier Profile,View/Search,clients.getSupplierProfile,query,protectedProcedure,clients:read,all,"Super Admin, Purchasing Manager",/clients/:id,Get supplier profile for seller client,Client-wired,,server/routers/clients.ts
CRM,Supplier Profiles,Update Supplier Profile,Update,clients.updateSupplierProfile,mutation,protectedProcedure,clients:update,all,"Super Admin, Purchasing Manager",/clients/:id,Update supplier profile,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,List Transactions,View/Search,clients.transactions.list,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/transactions,List transactions for client,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Get Transaction By ID,View/Search,clients.transactions.getById,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/transactions/:txId,Get transaction by ID,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Create Transaction,Create,clients.transactions.create,mutation,protectedProcedure,clients:create,all,"Super Admin, Sales Manager",/clients/:id/transactions,Create transaction,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Update Transaction,Update,clients.transactions.update,mutation,protectedProcedure,clients:update,all,"Super Admin, Sales Manager",/clients/:id/transactions/:txId,Update transaction,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Record Payment,Action,clients.transactions.recordPayment,mutation,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/transactions,Record payment against transaction,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Delete Transaction,Delete,clients.transactions.delete,mutation,protectedProcedure,clients:delete,all,"Super Admin",/clients/:id/transactions/:txId,Delete transaction,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Link Transactions,Action,clients.transactions.linkTransaction,mutation,protectedProcedure,clients:read,all,"Super Admin, Sales Manager",/clients/:id/transactions,Link transactions (refund to invoice etc),Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Get With Relationships,View/Search,clients.transactions.getWithRelationships,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/transactions/:txId,Get transaction with linked relationships,Client-wired,,server/routers/clients.ts
CRM,Client Transactions,Get History,View/Search,clients.transactions.getHistory,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/transactions,Get client transaction history,Client-wired,,server/routers/clients.ts
CRM,Client Activity,List Activity,View/Search,clients.activity.list,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/activity,List client activity log,Client-wired,,server/routers/clients.ts
CRM,Client Tags,Get All Tags,View/Search,clients.tags.getAll,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients,Get all client tags,Client-wired,,server/routers/clients.ts
CRM,Client Tags,Add Tag,Create,clients.tags.add,mutation,protectedProcedure,clients:create,all,"Super Admin, Sales Manager",/clients/:id,Add tag to client,Client-wired,,server/routers/clients.ts
CRM,Client Tags,Remove Tag,Delete,clients.tags.remove,mutation,protectedProcedure,clients:delete,all,"Super Admin, Sales Manager",/clients/:id,Remove tag from client,Client-wired,,server/routers/clients.ts
CRM,Client Notes,Get Note ID,View/Search,clients.notes.getNoteId,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/notes,Get client's linked note ID,Client-wired,,server/routers/clients.ts
CRM,Client Notes,Link Note,Action,clients.notes.linkNote,mutation,protectedProcedure,clients:read,all,"Super Admin, Sales Manager",/clients/:id/notes,Link freeform note to client,Client-wired,,server/routers/clients.ts
CRM,Client Communications,List Communications,View/Search,clients.communications.list,query,protectedProcedure,clients:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/communications,List client communications,Client-wired,,server/routers/clients.ts
CRM,Client Communications,Add Communication,Create,clients.communications.add,mutation,protectedProcedure,clients:create,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/communications,Add communication log entry,Client-wired,,server/routers/clients.ts
Inventory,Batches,List Batches,View/Search,batches.list,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/inventory,List batches with filters and pagination,Client-wired,,server/routers/batches.ts
Inventory,Batches,Get Batch By ID,View/Search,batches.getById,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/inventory/:id,Get batch by ID with full details,Client-wired,,server/routers/batches.ts
Inventory,Batches,Create Batch,Create,batches.create,mutation,protectedProcedure,inventory:create,all,"Super Admin, Inventory Manager",/inventory/new,Create new batch,Client-wired,,server/routers/batches.ts
Inventory,Batches,Update Batch,Update,batches.update,mutation,protectedProcedure,inventory:update,all,"Super Admin, Inventory Manager",/inventory/:id,Update batch with optimistic locking,Client-wired,,server/routers/batches.ts
Inventory,Batches,Delete Batch,Delete,batches.delete,mutation,protectedProcedure,inventory:delete,all,"Super Admin",/inventory/:id,Delete batch (soft delete),Client-wired,,server/routers/batches.ts
Inventory,Batches,Update Status,State Transition,batches.updateStatus,mutation,protectedProcedure,inventory:update,all,"Super Admin, Inventory Manager",/inventory/:id,Update batch status (AWAITING_INTAKE→LIVE etc),Client-wired,,server/routers/batches.ts
Inventory,Batches,Get Available Quantity,View/Search,batches.getAvailableQuantity,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/inventory/:id,Get available quantity for batch,Client-wired,,server/routers/batches.ts
Inventory,Movements,Record Movement,Create,inventoryMovements.record,mutation,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/:id,Record inventory movement,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Decrease Inventory,Action,inventoryMovements.decrease,mutation,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/inventory/:id,Decrease inventory quantity,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Increase Inventory,Action,inventoryMovements.increase,mutation,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/:id,Increase inventory quantity,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Adjust Inventory,Action,inventoryMovements.adjust,mutation,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/:id,Adjust inventory quantity with reason,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Get By Batch,View/Search,inventoryMovements.getByBatch,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/:id/movements,Get movements for batch,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Get By Reference,View/Search,inventoryMovements.getByReference,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/movements,Get movements by reference,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Validate Availability,Validation,inventoryMovements.validateAvailability,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",,Validate inventory availability before action,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Get Summary,Report,inventoryMovements.getSummary,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/reports,Get inventory movement summary,Client-wired,,server/routers/inventoryMovements.ts
Inventory,Movements,Reverse Movement,Action,inventoryMovements.reverse,mutation,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/inventory/:id/movements,Reverse inventory movement,Client-wired,,server/routers/inventoryMovements.ts
Inventory,COGS,Get COGS,View/Search,cogs.getCOGS,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Accounting Manager",/inventory/:id,Get COGS for batch,Client-wired,,server/routers/cogs.ts
Inventory,COGS,Calculate Impact,View/Search,cogs.calculateImpact,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Accounting Manager",/inventory/:id,Calculate impact of COGS change,Client-wired,,server/routers/cogs.ts
Inventory,COGS,Update Batch COGS,Update,cogs.updateBatchCogs,mutation,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Accounting Manager",/inventory/:id,Update batch COGS with audit trail,Client-wired,,server/routers/cogs.ts
Inventory,COGS,Get History,View/Search,cogs.getHistory,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Accounting Manager",/inventory/:id,Get COGS change history,Client-wired,,server/routers/cogs.ts
Inventory,COGS,Get COGS By Batch,Report,cogs.getCOGSByBatch,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Accounting Manager",/inventory/reports,Get COGS aggregated by batch,Client-wired,,server/routers/cogs.ts
Inventory,Products,List Products,View/Search,productCatalogue.list,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Sales Rep",/products,List products in catalogue,Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Get Product By ID,View/Search,productCatalogue.getById,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Sales Rep",/products/:id,Get product by ID,Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Create Product,Create,productCatalogue.create,mutation,protectedProcedure,(none),all,"Super Admin, Inventory Manager",/products/new,Create product,Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Update Product,Update,productCatalogue.update,mutation,protectedProcedure,(none),all,"Super Admin, Inventory Manager",/products/:id,Update product,Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Delete Product,Delete,productCatalogue.delete,mutation,protectedProcedure,(none),all,"Super Admin, Inventory Manager",/products/:id,Delete product (soft delete),Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Restore Product,Action,productCatalogue.restore,mutation,protectedProcedure,(none),all,"Super Admin, Inventory Manager",/products/:id,Restore deleted product,Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Get Categories,View/Search,productCatalogue.getCategories,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Sales Rep",/products,Get product categories,Client-wired,,server/routers/productCatalogue.ts
Inventory,Products,Get Brands,View/Search,productCatalogue.getBrands,query,protectedProcedure,(none),all,"Super Admin, Inventory Manager, Sales Rep",/products,Get product brands,Client-wired,,server/routers/productCatalogue.ts
Inventory,Strains,List Strains,View/Search,strains.list,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/strains,List all strains with pagination,Client-wired,,server/routers/strains.ts
Inventory,Strains,Get Strain By ID,View/Search,strains.getById,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/strains/:id,Get strain by ID,Client-wired,,server/routers/strains.ts
Inventory,Strains,Search Strains,View/Search,strains.search,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/strains,Search strains for autocomplete,Client-wired,,server/routers/strains.ts
Inventory,Strains,Create Strain,Create,strains.create,mutation,protectedProcedure,inventory:create,all,"Super Admin, Inventory Manager",/strains/new,Create custom strain,Client-wired,,server/routers/strains.ts
Inventory,Strains,Get Family,View/Search,strains.getFamily,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/strains/:id,Get strain family (parent and variants),Client-wired,,server/routers/strains.ts
Inventory,Strains,Get Family Stats,Report,strains.getFamilyStats,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager",/strains/:id,Get strain family statistics,Client-wired,,server/routers/strains.ts
Inventory,Strains,Fuzzy Search,View/Search,strains.fuzzySearch,query,protectedProcedure,inventory:read,all,"Super Admin, Inventory Manager, Sales Rep",/strains,Fuzzy search with similarity scoring,Client-wired,,server/routers/strains.ts
Inventory,Strains,Get Or Create,Create,strains.getOrCreate,mutation,protectedProcedure,inventory:create,all,"Super Admin, Inventory Manager",/inventory/intake,Get or create strain with fuzzy matching,Client-wired,,server/routers/strains.ts
Orders,Orders,Create Order,Create,orders.create,mutation,protectedProcedure,orders:create,all,"Super Admin, Sales Manager, Sales Rep",/orders/new,Create order (basic version),Client-wired,,server/routers/orders.ts
Orders,Orders,Get Order By ID,View/Search,orders.getById,query,protectedProcedure,orders:read,all,"Super Admin, Sales Manager, Sales Rep",/orders/:id,Get order by ID,Client-wired,,server/routers/orders.ts
Orders,Orders,Get Orders By Client,View/Search,orders.getByClient,query,protectedProcedure,orders:read,all,"Super Admin, Sales Manager, Sales Rep",/clients/:id/orders,Get orders by client,Client-wired,,server/routers/orders.ts
Orders,Orders,Get All Orders,View/Search,orders.getAll,query,protectedProcedure,orders:read,all,"Super Admin, Sales Manager, Sales Rep",/orders,Get all orders with filtering,Client-wired,,server/routers/orders.ts
Orders,Orders,Update Order,Update,orders.update,mutation,protectedProcedure,orders:update,all,"Super Admin, Sales Manager",/orders/:id,Update order,Client-wired,,server/routers/orders.ts
Orders,Orders,Delete Order,Delete,orders.delete,mutation,protectedProcedure,orders:delete,all,"Super Admin",/orders/:id,Delete order (soft delete),Client-wired,,server/routers/orders.ts
Orders,Orders,Restore Order,Action,orders.restore,mutation,protectedProcedure,orders:delete,all,"Super Admin",/orders/:id,Restore deleted order,Client-wired,,server/routers/orders.ts
Orders,Draft Orders,Create Draft Enhanced,Create,orders.createDraftEnhanced,mutation,protectedProcedure,orders:create,all,"Super Admin, Sales Manager, Sales Rep",/orders/new,Create draft with COGS/margin,Client-wired,,server/routers/orders.ts
Orders,Draft Orders,Update Draft Enhanced,Update,orders.updateDraftEnhanced,mutation,protectedProcedure,orders:update,all,"Super Admin, Sales Manager, Sales Rep",/orders/:id,Update draft (enhanced),Client-wired,,server/routers/orders.ts
Orders,Draft Orders,Confirm Draft Order,State Transition,orders.confirmDraftOrder,mutation,protectedProcedure,orders:create,all,"Super Admin, Sales Manager, Sales Rep",/orders/:id,Confirm draft order,Client-wired,,server/routers/orders.ts
Orders,Draft Orders,Finalize Draft,State Transition,orders.finalizeDraft,mutation,protectedProcedure,orders:create,all,"Super Admin, Sales Manager, Sales Rep",/orders/:id,Finalize draft order,Client-wired,,server/routers/orders.ts
